	Movie ID	Genre	Name	Year	Director	Cast	imDB rating	label
2003	3906	Crime	Under Suspicion	2000	Stephen Hopkins	Gene Hackman, Morgan Freeman	6.5	0
2007	3908	Horror	Urban Legends: Final Cut	2000	John Ottman	Jennifer Morrison, Matthew Davis	4.1	0
2009	3913	Documentary	Barenaked in America	1999	Jason Priestley	Steven Page, Ed Robertson	7.3	0
2012	3919	Horror	Hellraiser III: Hell on Earth	1992	Anthony Hickox	Kevin Bernhardt, Lawrence Mortorff	5.4	0
2013	3918	Horror	Hellbound: Hellraiser II	1988	Tony Randel	Clare Higgins, Ashley Laurence	6.5	0
2015	3923	Horror|Sci-Fi	Return of the Fly	1959	Edward Bernds	Vincent Price, Brett Halsey	5.7	0
2018	3926	Adventure|Sci-Fi	Voyage to the Bottom of the Sea	1961	Irwin Allen	Walter Pidgeon, Joan Fontaine	6.1	0
2019	3927	Adventure|Sci-Fi	Fantastic Voyage	1966	Richard Fleischer	Stephen Boyd, Raquel Welch	6.9	0
2021	3934	Sci-Fi	Kronos	1957	Kurt Neumann	Jeff Morrow, Barbara Lawrence	5.9	0
2022	3937	Sci-Fi|Thriller	Runaway	1984	Michael Crichton	Tom Selleck, Cynthia Rhodes	5.9	0
2023	3941	Horror	Sorority House Massacre	1986	Carol Frank	Angela O'Neill, Wendy Martel	4.3	0
2026	3944	Comedy|Drama	Bootmen	2000	Dein Perry	Vaughan Sheffield, Christian Patterson	6.2	0
2027	3947	Thriller	Get Carter	1971	Mike Hodges	Michael Caine, Ian Hendry	7.5	0
2029	3945	Adventure|Animation|Children's	Digimon: The Movie	2000	Mamoru Hosoda,Shigeyasu Yamauchi	Lara Jill Miller, Joshua Seth	5.9	0
